overall,vote,reviewTime,reviewText,summary,text
1,11,2007/10/8,"thankfully, i had saved my two very old batteries (for main phone plus extension); i thought they were pretty drained because they didn't last long, but when i put in these new ones, they lasted about half as long!!!!  please, please, when you read positive reviews of batteries here, keep in mind that some are posted by the company owner and/or friends and family.  but take it from me, a totally objective person, that i feel i just threw out a bunch of money.  unfortunately, i've disposed of the packaging and don't have the time to pack up these batteries and get them over to the post office to attempt to get a refund.  phones are so inexpensive now, anyway, you'd be much better off taking the money you would have spent on these batteries and putting them toward a new telephone.  to give the manufacturer the benefit of the doubt, my guess is that they're not intentionally being underhanded -- the batteries, like the phones they fit, are probably fairly old and simply have lost their juice sitting on a shelf.",these batteries last a shorter time than my almost dead ones!!,"thankfully, i had saved my two very old batteries (for main phone plus extension); i thought they were pretty drained because they didn't last long, but when i put in these new ones, they lasted about half as long!!!!  please, please, when you read positive reviews of batteries here, keep in mind that some are posted by the company owner and/or friends and family.  but take it from me, a totally objective person, that i feel i just threw out a bunch of money.  unfortunately, i've disposed of the packaging and don't have the time to pack up these batteries and get them over to the post office to attempt to get a refund.  phones are so inexpensive now, anyway, you'd be much better off taking the money you would have spent on these batteries and putting them toward a new telephone.  to give the manufacturer the benefit of the doubt, my guess is that they're not intentionally being underhanded -- the batteries, like the phones they fit, are probably fairly old and simply have lost their juice sitting on a shelf. these batteries last a shorter time than my almost dead ones!!"
5,0,2018/1/10,"i am liking this! my phone's headset jack is small, so this actually fit without needing a separate adapter. it connected right into the jack. yay! i forget the sizes, but i am sure it is in the specification section of this product's information. it does just what i wanted.",i am liking this! no adapter for my cordless phone needed.,"i am liking this! my phone's headset jack is small, so this actually fit without needing a separate adapter. it connected right into the jack. yay! i forget the sizes, but i am sure it is in the specification section of this product's information. it does just what i wanted. i am liking this! no adapter for my cordless phone needed."
2,6,2003/1/17,"i've owned and used this mouse for about 2 weeks and here's my experience.
first, the pluses:
-great, sleek looks
-charger built into the receiver unit
-works great on flat surfaces only
-low battery led indicator
the minuses:
-tracking is terrible on all other surfaces, ie:  carpet, blanket, couch fabric, matress, etc.
-logitech drivers will disable certain built in features of windows xp, many incompatibility issues w/other software
-range is worse than the ms intellimouse explorer wireless
if your mouse sits on a desk all day, i honestly don't think you need a wireless mouse.  however, if you need the range, versatility, and freedom because you have a living room/bedroom/familyroom pc setup where you may want to use the mouse on some surface other than a desktop, wireless is the way to go...but logitech is definitely not the way to go.
i couldn't believe how horrible this product performed after reading so many rave reviews about it, so i returned my first mx700 for another brand new one, but that one still had the same problems.  i guess none of the reviews tested this unit on other surfaces besides a desktop.
feel free to buy the mx700 and test it out on your own but if you plant to use this mouse on anything but a flat surface, make sure you save your receipt and box because you'll most likely want to return it later.  i gave my mx700 away to my little brother who will use it at his desk exclusively and i went out and bought the ms intellimouse explorer wireless and, to my surprise, i've never had a single tracking problem using it on textured and non-flat surfaces.  we've even wrinkled up a blanket and tested both mice:  the msiew worked flawlessly, the mx700 was a joke.  even my little brother wants to ebay his mx700 now and get the msiew.
some ppl complain about the msiew's lag time due to it's sleep mode and it's only about 1/2sec, all i do is nudge the mouse as i place my hand on it to wake it up before i use it and that works fine.  trust me, it's alot less inconvenient than you think and a whole heck of alot less frustrating than watching your cursor jitter and dance all over your screen because of tracking problems.
bottom line is, if you're only going to use your mouse on a desk, get this one...but, if you need your mouse to work on a wide range of surfaces, get the msiew.  personally, i think the whole point of wireless is that you don't plan to use your mouse on a desk, because if it's less wires on your desk that you're after, remember that every wireless device needs to have a receiver on the desk and that, my friend, still has wires.  (until they come up with a wireless receiver for the wireless receiver) =p
hopefully someday, either logitech or microsoft will combine the best features of these two mice into one product.",doesn't live up to the hype,"i've owned and used this mouse for about 2 weeks and here's my experience.
first, the pluses:
-great, sleek looks
-charger built into the receiver unit
-works great on flat surfaces only
-low battery led indicator
the minuses:
-tracking is terrible on all other surfaces, ie:  carpet, blanket, couch fabric, matress, etc.
-logitech drivers will disable certain built in features of windows xp, many incompatibility issues w/other software
-range is worse than the ms intellimouse explorer wireless
if your mouse sits on a desk all day, i honestly don't think you need a wireless mouse.  however, if you need the range, versatility, and freedom because you have a living room/bedroom/familyroom pc setup where you may want to use the mouse on some surface other than a desktop, wireless is the way to go...but logitech is definitely not the way to go.
i couldn't believe how horrible this product performed after reading so many rave reviews about it, so i returned my first mx700 for another brand new one, but that one still had the same problems.  i guess none of the reviews tested this unit on other surfaces besides a desktop.
feel free to buy the mx700 and test it out on your own but if you plant to use this mouse on anything but a flat surface, make sure you save your receipt and box because you'll most likely want to return it later.  i gave my mx700 away to my little brother who will use it at his desk exclusively and i went out and bought the ms intellimouse explorer wireless and, to my surprise, i've never had a single tracking problem using it on textured and non-flat surfaces.  we've even wrinkled up a blanket and tested both mice:  the msiew worked flawlessly, the mx700 was a joke.  even my little brother wants to ebay his mx700 now and get the msiew.
some ppl complain about the msiew's lag time due to it's sleep mode and it's only about 1/2sec, all i do is nudge the mouse as i place my hand on it to wake it up before i use it and that works fine.  trust me, it's alot less inconvenient than you think and a whole heck of alot less frustrating than watching your cursor jitter and dance all over your screen because of tracking problems.
bottom line is, if you're only going to use your mouse on a desk, get this one...but, if you need your mouse to work on a wide range of surfaces, get the msiew.  personally, i think the whole point of wireless is that you don't plan to use your mouse on a desk, because if it's less wires on your desk that you're after, remember that every wireless device needs to have a receiver on the desk and that, my friend, still has wires.  (until they come up with a wireless receiver for the wireless receiver) =p
hopefully someday, either logitech or microsoft will combine the best features of these two mice into one product. doesn't live up to the hype"
1,0,2013/9/30,"the info about tripod compatibility in the listing is not really specific, but i can confirm that it fits the 055cxpro4 model tripod.  you do have to wrestle the rubber end piece off of the column before inserting it into the tripod, and wrestle it back on once installed. repeat the struggle every time you swap it out with the regular column.

with this short center column and this tripod, the lowest height achievable for the platform on which the ballhead will sit is 12 inches from the ground.  this is quite a bit higher than manfrotto states for my tripod (4.53 inches), and is not acceptably low in my opinion.  forget about manfrotto if you want to do macro shots, or any shots, from close to the ground.  i am very unhappy with the ensemble because it cannot be set low enough, contrary to manfrotto's false specification.  try really right stuff, as i wish i had done.",compatible with my manfrotto 055cxpro4 tripod -- but still not a low platform.,"the info about tripod compatibility in the listing is not really specific, but i can confirm that it fits the 055cxpro4 model tripod.  you do have to wrestle the rubber end piece off of the column before inserting it into the tripod, and wrestle it back on once installed. repeat the struggle every time you swap it out with the regular column.

with this short center column and this tripod, the lowest height achievable for the platform on which the ballhead will sit is 12 inches from the ground.  this is quite a bit higher than manfrotto states for my tripod (4.53 inches), and is not acceptably low in my opinion.  forget about manfrotto if you want to do macro shots, or any shots, from close to the ground.  i am very unhappy with the ensemble because it cannot be set low enough, contrary to manfrotto's false specification.  try really right stuff, as i wish i had done. compatible with my manfrotto 055cxpro4 tripod -- but still not a low platform."
1,0,2015/1/31,"a very flaky unit, we purchased it even after reading mixed reviews, but as the others said it stopped showing video through one port after a while. sent it back for a refund.","a very flaky unit, we purchased it even after ...","a very flaky unit, we purchased it even after reading mixed reviews, but as the others said it stopped showing video through one port after a while. sent it back for a refund. a very flaky unit, we purchased it even after ..."
4,8,2012/3/23,"after seeing that this was about $1 cheaper than kodak bw400cn, i decided to give it a go. one of my magic lantern guides mentioned this film as intriguing, and that it something everyone should try once! well, i did, and this is what i found:

pros
- in the right conditions, grain is very fine compared to other 400iso films
- produces relatively sharp images
- in the right conditions, it has excellent contrast

neutral
- c41 process, can be developed at any place that develops film

negative
- without great lighting, grain becomes overpowering in larger prints (no, really)
- doesn't deal with high dynamic range too well in bright sun, i.e. sometimes too contrasty

overall, i'll keep a small stock of this when traveling and i can't develop my own film, but i much prefer true black and white films as a rule. if you are going on a sun-filled vacation, this is one you want to leave at home - even for a 400iso film it doesn't do well in the sun. i much prefer how kodak's bw400cn interprets dynamic range and contrast, and while this was an advanced film in its time, i can't understand how it has managed to stick around aside from the amateur market. fun to try, probably a good one for a day of non-essential shooting! i usually love ilford films - if you look at my fridge it probably accounts for 80% of my stock - but this one seems to be one of those ""convenience over quality"" decisions companies make sometimes.","interesting, not a game-changer.","after seeing that this was about $1 cheaper than kodak bw400cn, i decided to give it a go. one of my magic lantern guides mentioned this film as intriguing, and that it something everyone should try once! well, i did, and this is what i found:

pros
- in the right conditions, grain is very fine compared to other 400iso films
- produces relatively sharp images
- in the right conditions, it has excellent contrast

neutral
- c41 process, can be developed at any place that develops film

negative
- without great lighting, grain becomes overpowering in larger prints (no, really)
- doesn't deal with high dynamic range too well in bright sun, i.e. sometimes too contrasty

overall, i'll keep a small stock of this when traveling and i can't develop my own film, but i much prefer true black and white films as a rule. if you are going on a sun-filled vacation, this is one you want to leave at home - even for a 400iso film it doesn't do well in the sun. i much prefer how kodak's bw400cn interprets dynamic range and contrast, and while this was an advanced film in its time, i can't understand how it has managed to stick around aside from the amateur market. fun to try, probably a good one for a day of non-essential shooting! i usually love ilford films - if you look at my fridge it probably accounts for 80% of my stock - but this one seems to be one of those ""convenience over quality"" decisions companies make sometimes. interesting, not a game-changer."
5,0,2018/3/5,"originally sought out to sew my own holster from a piece of elastic, but this was a reasonably priced holster for my apple pencil and charger adapter.  the quality was very comfortable to the touch.  i would easily recommend this to my friends who need a way to carry their apple pencil with their ipad pro.

the only problem i have is very minor as it can easily be resolved.  the holster gets in the way of placing your ipad on a flat surface.  the solution is to either remove the holster or the smart cover to rest your ipad on a flat surface if needed.",price and quality,"originally sought out to sew my own holster from a piece of elastic, but this was a reasonably priced holster for my apple pencil and charger adapter.  the quality was very comfortable to the touch.  i would easily recommend this to my friends who need a way to carry their apple pencil with their ipad pro.

the only problem i have is very minor as it can easily be resolved.  the holster gets in the way of placing your ipad on a flat surface.  the solution is to either remove the holster or the smart cover to rest your ipad on a flat surface if needed. price and quality"
4,0,2015/3/4,don't use them a lot but they are nice when needed,1425427200,don't use them a lot but they are nice when needed 1425427200
4,0,2014/10/5,"i will say up front i did not buy this from amazon but its the item i am reviewing not amazon. i like this deck not love it, it has been in my vehicle and operating however there are flaws.
1. due to the design the volume knob is pretty close to the screen, so in accessing the volume it is very easy to touch the screen and restart the song.
2. all songs of mine are music videos and i find accessing the list very tedious and difficult
3. it would have been nice to show the name of the video that was about to play.
4. would have preferred a usb interface on the deck itself instead there is a cable which i have hanging by my glove box in which i have to plug in my flash drive.
5. all songs downloaded must be re coded to mpeg2 or else it won't read the file so mp4 from youtube is out",like not love,"i will say up front i did not buy this from amazon but its the item i am reviewing not amazon. i like this deck not love it, it has been in my vehicle and operating however there are flaws.
1. due to the design the volume knob is pretty close to the screen, so in accessing the volume it is very easy to touch the screen and restart the song.
2. all songs of mine are music videos and i find accessing the list very tedious and difficult
3. it would have been nice to show the name of the video that was about to play.
4. would have preferred a usb interface on the deck itself instead there is a cable which i have hanging by my glove box in which i have to plug in my flash drive.
5. all songs downloaded must be re coded to mpeg2 or else it won't read the file so mp4 from youtube is out like not love"
4,2,2015/5/25,"i choose this subwoofer because of its low price and because it was good enough for what i needed.  i have a couple of outdoor yamaha speakers in my patio powered by a lipai amplifier and they give me a perfect sound, even louder than what i really need.  however, my lipai has a choice to connect a subwoofer so i was looking for a cheap and enclosed unit which can provide a little bass to my yamahas.  the result is awesome; now the sound in my patio is perfect for outdoor cooking and parties with friends; the sound was already good with the yamahas but this addition is the perfect complement.  i don't need an extremely loud sound and i don't even have an amplifier with all that power to do that, so i don't know how this unit would perform for higher demand applications but it fits perfect for me.",perfect for my needs,"i choose this subwoofer because of its low price and because it was good enough for what i needed.  i have a couple of outdoor yamaha speakers in my patio powered by a lipai amplifier and they give me a perfect sound, even louder than what i really need.  however, my lipai has a choice to connect a subwoofer so i was looking for a cheap and enclosed unit which can provide a little bass to my yamahas.  the result is awesome; now the sound in my patio is perfect for outdoor cooking and parties with friends; the sound was already good with the yamahas but this addition is the perfect complement.  i don't need an extremely loud sound and i don't even have an amplifier with all that power to do that, so i don't know how this unit would perform for higher demand applications but it fits perfect for me. perfect for my needs"
3,0,2014/10/14,cheap subwoofer for a cheap price.,you get what you pay for.,cheap subwoofer for a cheap price. you get what you pay for.
2,2,2014/12/10,"had to try this again; arthritis in the fingers makes it difficult with a standard keyboard.  however, there is a rather long reach to the ""t"", ""b"", and the ""y"" as well. fingers don't like being stretched these days.  the worst part is that this keyboard teeter-tottered on my desk, which is perfectly flat, by the way.  there are no soft ""legs"" on this board which might mitigate this wobbling.  the one-piece plastic case appears to be slightly warped, meaning you must chase it around on the desktop, repeatedly bringing it back in front of you.  that was the deal breaker for me (us - my wife also suffers from arthritis).  i used one of these many years ago, and it worked fine.  as i and the product have aged, it seems that key compromises have been realized - - - inclusively.  they just don't make things like they used to . . . . . .",not what it used to be,"had to try this again; arthritis in the fingers makes it difficult with a standard keyboard.  however, there is a rather long reach to the ""t"", ""b"", and the ""y"" as well. fingers don't like being stretched these days.  the worst part is that this keyboard teeter-tottered on my desk, which is perfectly flat, by the way.  there are no soft ""legs"" on this board which might mitigate this wobbling.  the one-piece plastic case appears to be slightly warped, meaning you must chase it around on the desktop, repeatedly bringing it back in front of you.  that was the deal breaker for me (us - my wife also suffers from arthritis).  i used one of these many years ago, and it worked fine.  as i and the product have aged, it seems that key compromises have been realized - - - inclusively.  they just don't make things like they used to . . . . . . not what it used to be"
1,0,2015/7/20,not what i am looking for. i returned and purchased another one from best buy.,i returned and purchased another one from best buy.,not what i am looking for. i returned and purchased another one from best buy. i returned and purchased another one from best buy.
3,0,2013/12/24,"this same screen sells for much more in office supply chains.  average security and fit well, which is always an issue with these screens.",not worth it,"this same screen sells for much more in office supply chains.  average security and fit well, which is always an issue with these screens. not worth it"
1,22,2015/3/12,"got this telescope a few days before christmas, for my 6-year-old's ""big gift"" of the year. it worked when i set it up, but the computer died completely on christmas night, when we first went out to use it. it was a major bummer, and really sucked to kill his christmas.

the only way to try and fix the computer was to buy a serial adapter cable from them (and update the computer's firmware), since it doesn't take a normal serial cable. i'm a nerd, and i even attempted to make my own, but it was no good.

major bummer",the telescope that ruined christmas,"got this telescope a few days before christmas, for my 6-year-old's ""big gift"" of the year. it worked when i set it up, but the computer died completely on christmas night, when we first went out to use it. it was a major bummer, and really sucked to kill his christmas.

the only way to try and fix the computer was to buy a serial adapter cable from them (and update the computer's firmware), since it doesn't take a normal serial cable. i'm a nerd, and i even attempted to make my own, but it was no good.

major bummer the telescope that ruined christmas"
3,0,2010/4/4,"i was disappointing based on previous reviews. the satellites were fuzzy, paper resonant, and lacking clarity. i disassembled, glued symmetrical shoe goo stabilizers to the cones and improved the sound tremendously - went from a 2 star to 4. but i rated it a 3. the sub is boomy but adequate. i think the thin box needs reinforcement.",flimsy sattelite drivers vibrate,"i was disappointing based on previous reviews. the satellites were fuzzy, paper resonant, and lacking clarity. i disassembled, glued symmetrical shoe goo stabilizers to the cones and improved the sound tremendously - went from a 2 star to 4. but i rated it a 3. the sub is boomy but adequate. i think the thin box needs reinforcement. flimsy sattelite drivers vibrate"
4,0,2015/3/18,"good economical charger, handles asus t100a 3775 tablet without issue when few others will.",1426636800,"good economical charger, handles asus t100a 3775 tablet without issue when few others will. 1426636800"
4,0,2015/9/4,nothing to write home about.  it's a nice case and does the job of protecting the screen when not in use.,it's a nice case and does the job of protecting the screen ...,nothing to write home about.  it's a nice case and does the job of protecting the screen when not in use. it's a nice case and does the job of protecting the screen ...
3,0,2014/6/5,"i love the fact i can access 4 more hard drives on my computer--which i did by using a 5.25"" bay adapter to hold 4 2.5"" hard drives, but i don't like the fact i get the no ahci warning at the very beginning and have to wait a few more seconds for it to clear. haven't figured out how to get rid of the in windows 7 pro 64",hit and miss,"i love the fact i can access 4 more hard drives on my computer--which i did by using a 5.25"" bay adapter to hold 4 2.5"" hard drives, but i don't like the fact i get the no ahci warning at the very beginning and have to wait a few more seconds for it to clear. haven't figured out how to get rid of the in windows 7 pro 64 hit and miss"
5,0,2013/6/12,"got this card for my grandma for her new sony cx220 camcorder which she's loving! this card is a great value! for the price, it's very cheap! and it's a sony card, so that's great. if you're not a stickler for a blazing fast card, this card will be good enough, especially for the price, name brand, and capacity!",great quality and great price!!!,"got this card for my grandma for her new sony cx220 camcorder which she's loving! this card is a great value! for the price, it's very cheap! and it's a sony card, so that's great. if you're not a stickler for a blazing fast card, this card will be good enough, especially for the price, name brand, and capacity! great quality and great price!!!"
5,0,2008/6/3,"i have been using this mouse for the last 18 months; it is by far the best mouse i have ever used. it is the right shape and size for my medium sized hand, and the buttons are not too stiff. the side buttons are place in just the right place to easily hit them without moving off the other buttons or changing the hand placement on the mouse. that said one of the best things about this mouse is that it never goes to sleep. it is not like other mouse's that will stop working or go to sleep in the middle of using it. in fact even when you come back to it after some time it is always ready to work. i don't use it for the games that require the special adjustments that can be done with this mouse, so i can't rate it for those reasons. but i do give it 5 stars for everything i have ever used it for.",the mouse that never stops.,"i have been using this mouse for the last 18 months; it is by far the best mouse i have ever used. it is the right shape and size for my medium sized hand, and the buttons are not too stiff. the side buttons are place in just the right place to easily hit them without moving off the other buttons or changing the hand placement on the mouse. that said one of the best things about this mouse is that it never goes to sleep. it is not like other mouse's that will stop working or go to sleep in the middle of using it. in fact even when you come back to it after some time it is always ready to work. i don't use it for the games that require the special adjustments that can be done with this mouse, so i can't rate it for those reasons. but i do give it 5 stars for everything i have ever used it for. the mouse that never stops."
5,0,2009/5/5,you get what you pay for,1241481600,you get what you pay for 1241481600
1,11,2007/9/8,"i bought this camera because i have owned several minolta maxxum film cameras over the years including the origional minolta maxxum 7000 from the early 80s.  since i already had several lenses i thought it was a no brainer purchase.

until i went with a friend and shot photos at the arizona reinsanance festival.  he was there with his canon 20d.

we both shot photos of the bird show and i compared photos later with what he had taken and what i got.

then he let me borrow his camera and take some shots.

let me tell you!!!

the auto focus on a canon camera is light years ahead of anything minolta has!!!  his canon with a 70 - 200 f4 l usm lens can focus from minium distance to infinity and take dozens of photos while i'm still trying to get my minolta 5d to focus with any lens at any distance.  since then i have tested a new canon 30d with a canon 400mm usm l 5.6 against my minolta maxxum 75 - 300 lens.  the canon lens can focus in micro seconds even faster then my 50mm minolta lens!!!!  you don't even want to hear how slow the 75 - 300 lens is not only can you not track birds in flight with the minolta lens you are lucky to get the shot at all.

then when comparing the shots taken in darker areas with higher iso his shots at iso 1600 looked better then mine at 400!!!

i ended up buying a canon 400d rebel xti and what a shock.

i have tested my minolta 5d and several of the new sony maxxum lens mount cameras back to back against my canon and it's no contest.

bottom line, if you want a camera that can focus on and track a bird in flight! then get a canon dslr with usm focusing and forget the minolta non-sense with their body driven focusing motor in the camera body.

my daughter had been using my minotla 5d for awhile we were shooting some birds her with the minotla and me with the canon.  i handed her my canon with a 70 - 200 2.8 l lens and she aimed the camera out and focused and took her first shot.  she looked at me in disbelief!!  she said what the heck, how can it focus so fast!!!  this is amazing!!!!

if i had never compared i would have never know how much better a camera can be.

go to any store and try a new canon xti rebel or canon 30d or 40d and see for your self!!

i have since put up my minolta cameras and lens for sale.

good luck sony, you will need it.",very slow auto focus very poor high iso performance,"i bought this camera because i have owned several minolta maxxum film cameras over the years including the origional minolta maxxum 7000 from the early 80s.  since i already had several lenses i thought it was a no brainer purchase.

until i went with a friend and shot photos at the arizona reinsanance festival.  he was there with his canon 20d.

we both shot photos of the bird show and i compared photos later with what he had taken and what i got.

then he let me borrow his camera and take some shots.

let me tell you!!!

the auto focus on a canon camera is light years ahead of anything minolta has!!!  his canon with a 70 - 200 f4 l usm lens can focus from minium distance to infinity and take dozens of photos while i'm still trying to get my minolta 5d to focus with any lens at any distance.  since then i have tested a new canon 30d with a canon 400mm usm l 5.6 against my minolta maxxum 75 - 300 lens.  the canon lens can focus in micro seconds even faster then my 50mm minolta lens!!!!  you don't even want to hear how slow the 75 - 300 lens is not only can you not track birds in flight with the minolta lens you are lucky to get the shot at all.

then when comparing the shots taken in darker areas with higher iso his shots at iso 1600 looked better then mine at 400!!!

i ended up buying a canon 400d rebel xti and what a shock.

i have tested my minolta 5d and several of the new sony maxxum lens mount cameras back to back against my canon and it's no contest.

bottom line, if you want a camera that can focus on and track a bird in flight! then get a canon dslr with usm focusing and forget the minolta non-sense with their body driven focusing motor in the camera body.

my daughter had been using my minotla 5d for awhile we were shooting some birds her with the minotla and me with the canon.  i handed her my canon with a 70 - 200 2.8 l lens and she aimed the camera out and focused and took her first shot.  she looked at me in disbelief!!  she said what the heck, how can it focus so fast!!!  this is amazing!!!!

if i had never compared i would have never know how much better a camera can be.

go to any store and try a new canon xti rebel or canon 30d or 40d and see for your self!!

i have since put up my minolta cameras and lens for sale.

good luck sony, you will need it. very slow auto focus very poor high iso performance"
3,2,2014/2/3,"pros:
-underwater (yes tested this in a pool and worked fine)
-stylish looks.
-long lasting battery.
cons:
-poor image quality even my cellphone takes better pictures.
-bad light balance. it takes too long to balance pictures usually comes out very illuminated

yes i tried everything on the best or finest options and even tried to manually adjust the light settings. for the price i cant complain and would reccomend it.",great underwater camera!,"pros:
-underwater (yes tested this in a pool and worked fine)
-stylish looks.
-long lasting battery.
cons:
-poor image quality even my cellphone takes better pictures.
-bad light balance. it takes too long to balance pictures usually comes out very illuminated

yes i tried everything on the best or finest options and even tried to manually adjust the light settings. for the price i cant complain and would reccomend it. great underwater camera!"
2,0,2015/3/13,"stopped working after 1 year, no support or updates whatsoever.",just ok,"stopped working after 1 year, no support or updates whatsoever. just ok"
